Symbol,Full Name,GICS Sector,GICS Sub-Industry,Environment Score,Social Score,Governance Score,Total Esg,Highest Controversy,Percentile,Market Cap,Beta,Overall Risk
ETSY,Etsy,Consumer Discretionary,Broadline Retail,3.7,8.73,6.2,6.21,2,29.85,7988529664.0,2.02455,10
EG,Everest Re,Financials,Reinsurance,3.7,8.73,6.2,6.21,2,29.85,16459078656.0,0.613416,4
EVRG,Evergy,Utilities,Electric Utilities,3.7,8.73,6.2,6.21,2,29.85,12504986624.0,0.505878,1
ES,Eversource,Utilities,Multi-Utilities,4.8,8.16,5.77,18.73,2,21.43,22414813184.0,0.498962,6
EXC,Exelon,Utilities,Multi-Utilities,8.83,8.97,6.59,24.39,3,41.76,41450872832.0,0.616182,5
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2.11,13.79,9.81,25.7,2,47.79,15327152128.0,1.638658,10
EXPD,Expeditors International,Industrials,Air Freight & Logistics,3.83,7.35,4.64,15.82,2,12.42,17516920832.0,1.014177,6
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,3.81,4.28,5.99,14.08,1,8.36,27979958272.0,0.572268,7
XOM,ExxonMobil,Energy,Integrated Oil & Gas,18.55,9.82,8.1,36.47,3,82.83,465224564736.0,1.075034,7
FFIV,"F5, Inc.",Information Technology,Communications Equipment,1.26,12.49,5.42,19.18,1,23.0,9398285312.0,1.05567,4
FDS,FactSet,Financials,Financial Exchanges & Data,2.94,10.88,6.61,20.44,1,27.27,16313986048.0,0.814315,2
FICO,Fair Isaac,Information Technology,Application Software,3.7,8.73,6.2,6.21,2,29.85,22157709312.0,1.214038,6
FAST,Fastenal,Industrials,Building Products,10.69,8.66,7.05,26.4,2,50.85,31549007872.0,1.147994,3
FRT,Federal Realty,Real Estate,Retail REITs,2.27,4.34,5.82,12.42,1,4.3,8119081472.0,1.23686,3
FDX,FedEx,Industrials,Air Freight & Logistics,5.29,9.32,5.84,20.45,2,27.01,63903662080.0,1.364799,5
